"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON CAD","23/01/2023 4:37 PM","6640896","Amazon Seller Central - CA","15MIS_C-SMO-0024","2","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 4:37 PM","6640898","Amazon Seller Central - CA","15MIS_K-CAX-0031_MPK2","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON CAD","23/01/2023 4:37 PM","6640897","Amazon Seller Central - CA","15MIS_C-SMO-0031","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 4:38 PM","6640812","Amazon Seller Central - US","15MIS_C-SSL-0034","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:40 PM","6640814","Amazon Seller Central - US","15MIS_C-DBT-0022","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:41 PM","6640815","Amazon Seller Central - US","15MIS_C-BLD-0202_MPK3","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime SecondDay"
"BW - MISHON","1/23/2023 4:42 PM","6640817","Amazon Seller Central - US","15MIS_C-CCH-0105","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:43 PM","6640816","Amazon Seller Central - US","15MIS_C-CBL-0299","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 4:44 PM","6640936","Amazon Seller Central - CA","15MIS_C-STK-0003","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON CAD","23/01/2023 4:44 PM","6640936","Amazon Seller Central - CA","15MIS_K-CAX-0059","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 4:45 PM","6640867","Amazon Seller Central - US","15KIT_MK1000935","1","","MISHONM - McDonough","Amazon Merchants@","Prime NextDay"
"BW - MISHON","1/23/2023 4:45 PM","6640921","Walmart Marketplace","15KIT_MK1003160","1","","MISHONC - Chesterfield","Walmart","Express"
"BW - MISHON","1/23/2023 4:45 PM","6640799","eBay Fixed Price US","15PRN_2592-5","1","","MISHONC - Chesterfield","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 4:48 PM","6640818","Amazon Seller Central - US","15MIS_C-BLB-0028_MPK2","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:48 PM","6640868","Amazon Seller Central - US","15KIT_MK1000966","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime NextDay"
"BW - MISHON","1/23/2023 4:49 PM","6640869","Amazon Seller Central - US","15KIT_MK1006298","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime NextDay"
"BW - MISHON","1/23/2023 4:52 PM","6640888","Amazon Seller Central - US","15MIS_C-PLY-0007","1","","MISHONC - Chesterfield","Amazon Merchants@","Prime SecondDay"
"BW - MISHON CAD","23/01/2023 4:55 PM","6641745","Amazon Seller Central - CA","15MIS_C-BLD-0163_MPK3","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 4:56 PM","6640819","eBay Motors Fixed Price US","15MIS_C-SMO-0064","1","","MISHONC - Chesterfield","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 4:56 PM","6640889","Amazon Seller Central - US","15MIS_C-SSL-0082","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 4:57 PM","6640920","Shopify","15MIS_K-CAX-0036_MPK2","1","","MISHON - New Dundee","Shopify","Standard"
"BW - MISHON","1/23/2023 4:58 PM","6640890","Amazon Seller Central - US","15MIS_C-BLT-0033","2","","MISHONM - McDonough","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 4:59 PM","6640996","Amazon Seller Central - CA","15MIS_C-RTR-0013","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
